№;Название продукта;Что делает продукт/сервис;Какие проблемы помогает решить
19;Отчетность в государственные органы в составе пакета услуг;Сервис сдачи отчётности в составе пакета;Ручная сдача отчётности
20;Юрист для бизнеса в составе пакета услуг;Юридические консультации в составе пакета;Отсутствие доступной юридической поддержки
21;Корпоративные облигации до погашения;Размещение корпоративных облигаций;Привлечение финансирования через долговой рынок
22;СберАналитика;Платформа бизнес-аналитики: отчёты, прогнозирование;Отсутствие аналитики
23;Бухгалтерия для ИП в составе пакета услуг;Бухгалтерские услуги для ИП в пакете;Сложности с бухгалтерией ИП
24;Работа.ру в составе пакета услуг;Доступ к подбору сотрудников Работа.ру;Проблемы с наймом персонала
25;Активация ЖКХ;Активация сервисов для ЖКХ;Сложности с платежами и процессами ЖКХ
26;Пакет услуг «ЛЁГКИЙ СТАРТ»;Стартовый пакет услуг для нового бизнеса;Сложности старта бизнеса
27;21. Финансирование операций корпоративного лизинга;Финансирование корпоративного лизинга;Потребность в лизинговом финансировании
28;Оборотный кредит - Финансирование подрядчика, выполняющего строительство ИЖС;Целевой оборотный кредит для подрядчиков ИЖС;Финансирование подрядчиков ИЖС
29;Опция "Переводы физлицам для НКО 150 т.р.";Опция с повышенным лимитом переводов для НКО;Ограничения по переводам для НКО
30;Реструктуризация ММБ;Реструктуризация кредитов ММБ;Трудности с обслуживанием долга
31;Сайт-визитка от нейросети;Создание сайта-визитки с помощью нейросети;Отсутствие сайта
32;Неснижаемые остатки;Размещение неснижаемых остатков на счёте;Выполнение условий тарифов по остаткам
33;39.3. Кредит под будущую прибыль в рамках Продукта «3 в 1»;Кредит под будущую прибыль в проектах жилья;Финансирование девелоперских проектов
34;AI сервисы мониторинга и прогнозирования;ИИ-сервисы мониторинга и прогнозирования;Отсутствие предиктивной аналитики
35;Цифровая платформа непрерывного обучения;Платформа онлайн-обучения сотрудников;Необходимость непрерывного обучения
36;17. Гарантия возврата займа на оборотные цели;Банковская гарантия возврата займа;Риски невозврата займов
37;Активация Управление продажами;Активация модуля управления продажами;Слабый контроль продаж
38;Пакет услуг "Только для селлеров" с небанковскими сервисами;Пакет для продавцов маркетплейсов;Комплексная поддержка селлеров
39;Сервисная модель и эффективность;Сервис внедрения сервисной модели и повышения эффективности;Низкая операционная эффективность
40;Цифровой помощник врача ТОП-3;ИИ-помощник для врачей;Высокая нагрузка на врачей
41;SberCRM;CRM для управления продажами и клиентами;Потеря лидов, слабый контроль продаж
42;TravelLine - Платформа управления гостиничным бизнесом;Платформа для отелей: бронирование, аналитика;Ручное управление отелем
43;Регистрация Бизнеса;Помощь в регистрации ИП / ООО;Сложности регистрации бизнеса
44;29. Комплементарное финансирование уставной деятельности Заемщика под залог Объектов коммерческой недвижимости;Комплементарное финансирование под залог коммерческой недвижимости;Потребность в финансировании под залог
45;Робот-оператор;Голосовой робот-оператор;Высокая нагрузка на колл-центр
46;Геоинформационные системы;Геоинформационные и картографические сервисы;Отсутствие геоаналитики
47;18. Контрактный кредит для зертнотрейдеров;Контрактный кредит для зернотрейдеров;Финансирование зернотрейдеров
48;Аналитика бизнеса;Сервис бизнес-аналитики;Отсутствие прозрачной аналитики
49;Операции займа ценных бумаг;Операции займа ценных бумаг;Работа с ценными бумагами
50;Операции РЕПО;Операции РЕПО;Краткосрочное финансирование под ценные бумаги
51;Веб-платформа для контроля и управления строительством;Веб-платформа контроля строительства;Отсутствие цифрового контроля за стройкой
52;MPSTATS — платформа для аналитики маркетплейсов;Аналитика товаров и конкурентов на маркетплейсах;Слабая аналитика маркетплейсов
53;СберБизнес.Giga-assistant;ИИ-ассистент для бизнеса;Автоматизация рутинных задач
54;53. Финансирование текущей деятельности Контрактников и Подрядчиков;Котловое финансирование контрактников;Финансирование исполнения контрактов
55;24. Финансирование проектов жилищного строительства с использованием эскроу;Финансирование жилищного строительства с эскроу;Проектное финансирование жилья
56;Факторинг Регресс;Финансирование дебиторской задолженности с регрессом;Долгие отсрочки платежей
57;Аккредитивы выданные с покрытием за счёт собственных средств клиентов - внутрироссийские;Аккредитивы с покрытием;Риски неоплаты в сделках
58;КУ Оформление справки о ПД;Оформление справки о подтверждении деятельности;Необходимость официальных справок
59;Агентский факторинг;Агентская схема факторинга;Финансирование дебиторки через агента
60;Услуги торгового эквайринга;Приём платежей через терминалы;Зависимость от наличных
61;6. Тендерная гарантия;Тендерная банковская гарантия;Обеспечение для участия в тендерах
62;3.1 Гарантия исполнения договорных обязательств;Гарантия исполнения договорных обязательств;Риски неисполнения контракта
63;Кредитная бизнес-карта;Бизнес-карта с кредитным лимитом;Удобное использование кредитных средств
64;Корпоративное обучение;Корпоративные образовательные программы;Повышение квалификации сотрудников
65;Программные и аппаратные решения с интегрированным ИИ;Программно-аппаратные решения с ИИ;Отсутствие готовых ИИ-решений
66;Инкассация;Инкассация наличных;Сбор и доставка выручки
67;Сайт под ключ;Создание сайта под ключ;Отсутствие профессионального сайта
68;Сегментация аудитории и таргетинг;Сегментация аудитории и таргетированная реклама;Слабая эффективность рекламы
69;Yclients - Онлайн-запись и автоматизация;Платформа онлайн-записи для услуг;Ручная запись клиентов
70;Самоинкассация;Самоинкассация;Быстрая сдача выручки
71;Образовательный профиль клиента;Формирование образовательного профиля клиента;Отсутствие персонализированных предложений
72;Платформа управления рисками бизнеса;Платформа управления рисками;Отсутствие системного управления рисками
73;7. Гарантия в пользу таможенных органов;Таможенная гарантия;Обеспечение таможенных платежей
74;Программа лояльности "СберБизнес Спасибо";Программа лояльности для бизнеса;Низкое удержание клиентов
75;Автоматизация и аутсорсинг ИТ- сервисов;Автоматизация и аутсорсинг ИТ;Высокие затраты на ИТ
76;Партнёрская программа цифровой трансформации;Партнёрская программа цифровизации;Отсутствие поддержки в цифровизации
77;SberCRM;CRM-система Сбера;Разрозненная информация о клиентах
78;AI сервисы мониторинга и прогнозирования;ИИ-сервисы мониторинга и прогнозирования;Отсутствие предиктивной аналитики
79;АС Транспортные решения;Автоматизированная система транспортных решений;Сложности в транспорте и логистике
80;Сервис повышения продаж на сайте;Сервис повышения продаж на сайте;Низкая конверсия сайта
81;Образовательные программы от Алгоритмики;Образовательные программы Алгоритмики;Обучение цифровым навыкам
82;Чат-боты для бизнеса;Чат-боты для бизнеса;Высокая нагрузка на поддержку
83;Аналитика потребителя;Аналитика поведения потребителей;Отсутствие понимания клиентов
84;Аналитика жилой и коммерческой недвижимости;Аналитика рынка недвижимости;Отсутствие данных по недвижимости
85;Аналитика бизнеса;Аналитика бизнеса;Отсутствие прозрачной аналитики
86;Аналитика ассортимента;Аналитика ассортимента товаров;Неэффективный ассортимент
87;hh.ru – размещение вакансий;Размещение вакансий на hh.ru;Проблемы с поиском сотрудников
88;Оборотный кредит Стандарт индивидуальная ставка;Оборотный кредит;Дефицит оборотных средств
89;Work-Life Balance;Программа Work-Life Balance;Проблемы с удержанием сотрудников
90;Time2Pay;Сервис оплаты в рассрочку;Привлечение клиентов через рассрочку
91;Корпоративный личный кабинет удостоверяющего центра;Корпоративный кабинет для электронной подписи;Сложности с ЭП
92;21. Договорная гарантия/ гарантия качества;Банковская гарантия качества;Риски неисполнения контракта
93;Смарт-диспетчер недвижимости;Смарт-диспетчер недвижимости;Хаос в заявках жителей
94;Расчетное обслуживание;Расчётное обслуживание;Отсутствие удобного РКО
95;Сбер А: Тендерная платформа для застройщиков;Тендерная платформа для застройщиков;Сложности с тендерами
96;Валютный форвард с предоплатой;Валютный форвард с предоплатой;Риски валютных колебаний
97;МиниКАСКО;Мини-полис КАСКО;Защита транспорта с минимальными затратами
98;Конверсионные операции в рамках РКО;Конверсионные операции в РКО;Конвертация валюты
99;Сбер ID B2B;Сбер ID для бизнеса;Сложности идентификации
100;Защита от угроз БПЛА;Защита от угроз БПЛА;Риски от беспилотников
101;Умные устройства;Умные устройства для бизнеса;Отсутствие IoT-решений
102;Расчеты и платежи;Расчёты и платежи;Неудобные расчёты
103;Авито Работа – поиск сотрудников;Поиск сотрудников на Авито;Проблемы с наймом
104;Геоаналитика Bestplace;Геоаналитика Bestplace;Отсутствие гео-данных
105;Производственная медицина;Производственная медицина;Здоровье сотрудников на производстве
106;Подбор партнёров;Подбор партнёров;Поиск надёжных партнёров
107;Сбер Таргет;Таргетированная реклама Сбера;Низкая эффективность рекламы
108;Купер B2B;Купер B2B (платформа закупок);Сложности B2B-закупок
109;Предпроектный бридж;Предпроектное финансирование;Финансирование предпроектной стадии
110;Saby Presto;Saby Presto для HoReCa;Разрозненные процессы в ресторанах
111;Медиация;Медиация споров;Корпоративные споры
112;Corporate Business Development;Корпоративное развитие бизнеса;Отсутствие стратегии роста
113;Налоговые вычеты клиентам;Помощь с налоговыми вычетами;Сложности с вычетами
114;СберБизнес. Недвижимость;Сервис недвижимости СберБизнес;Сделки с недвижимостью
115;Консоль - работа с самозанятыми;Консоль работы с самозанятыми;Управление самозанятыми
116;Консалтинговые услуги в сфере инвестиций и ГЧП;Консалтинг по инвестициям и ГЧП;Отсутствие экспертизы в ГЧП
117;Консультационные услуги;Общие консультационные услуги;Необходимость экспертных консультаций
118;Портал бухгалтера;Портал для бухгалтеров;Упрощение бухгалтерии
119;Быстрые лиды;Генерация быстрых лидов;Недостаток лидов
120;Вовлечение объектов недвижимости в налоговый оборот;Вовлечение недвижимости в налоговый оборот;Оптимизация налогов по недвижимости
121;Опция "100 платежей юр. лицам в другие банки";Опция 100 платежей юрлицам;Ограничения по платежам
122;Интенсивы по цифровым навыкам;Интенсивы по цифровым навыкам;Недостаток цифровых компетенций
123;Нестор.БРИФ;Нестор.БРИФ;Специализированный сервис
124;Платежи ЖКХ. Безналичные платежи (по реквизитам);Безналичные платежи ЖКХ;Удобство оплаты ЖКХ
125;Сбербанк Первый;Премиальное обслуживание;Премиум-сервис
126;26. Налоговая гарантия возмещения налога по ст.203 НК РФ;Налоговая гарантия по ст.203 НК РФ;Задержки налоговых возмещений
127;Защита бизнеса 360;Комплексная защита бизнеса 360;Риски бизнеса
128;31.1. Начальное финансирование в рамках финансирования проектов комплексного развития территорий;Начальное финансирование КРТ;Финансирование развития территорий
129;Подключение Клиента к маркетплейсу Мегамаркет;Подключение к Мегамаркет;Вывод на маркетплейс
130;14. Гарантия платежа непроектного Принципала;Гарантия платежа;Риски неоплаты
131;Моя бухгалтерия Аутсорсинг;Аутсорсинг бухгалтерии;Отсутствие бухгалтера
132;Все в плюсе;Пакет «Все в плюсе»;Комплексное обслуживание
133;Комплексная диагностика организма;Комплексная диагностика здоровья;Здоровье сотрудников
134;Облачные Услуги Cloud.ru;Облачные услуги;Облачная инфраструктура
135;Готовые образовательные решения;Готовые образовательные решения;Обучение сотрудников
136;Доставка до маркетплейсов;Доставка товаров до маркетплейсов;Логистика селлеров
137;Кастомизированные программы;Кастомизированные программы;Персонализированное обучение
138;Продукты PlatformV;Продукты PlatformV;Цифровые продукты
139;Спецтехника. Рынок. ЮЛ. Брокер;Брокерские услуги по спецтехнике;Приобретение спецтехники
140;Smart Logger;Smart Logger;Мониторинг процессов
141;Подписка СберПрайм;Подписка СберПрайм;Премиум-сервисы
142;Центр управления госпитализацией пациентов с применением ИИ;ИИ-центр управления госпитализацией;Оптимизация медпроцессов
143;GigaCode;GigaCode;Автоматизация разработки
144;СберСпасибо – программа лояльности для бизнеса;Программа лояльности СберСпасибо;Удержание клиентов
145;Активация Транспорт;Активация транспортных сервисов;Управление транспортом
146;КУ Экспертиза контракта;Экспертиза контракта;Риски в контрактах
147;1.1 Гарантия исполнения финансовых обязательств по договору/ контракту;Гарантия платежа;Риски неоплаты
148;ИТуслуга.ру – Цифровая платформа ИТ-продуктов для бизнеса;Платформа ИТ-услуг;Доступ к ИТ-продуктам
149;Инвестиционный кредит Москва индивидуальная ставка;Инвестиционный кредит;Финансирование инвестиций
150;Диагностика и определение путей развития организации;Диагностика и стратегия развития бизнеса;Отсутствие стратегии
151;Геоконтекстная реклама;Геоконтекстная реклама;Таргетинг по геолокации
152;25. Налоговая гарантия возмещения НДС;Налоговая гарантия НДС;Задержки возврата НДС
153;Аналитика потребителя;Аналитика потребителя;Понимание клиентов
154;Цифровое техническое обследование здания;Цифровое обследование зданий;Технический аудит недвижимости
155;Партнерская программа Сбера;Партнёрская программа Сбера;Партнёрство и монетизация
156;Образовательный консалтинг;Образовательный консалтинг;Разработка образовательных программ
157;22. Договорная гарантия/ гарантия качества;Гарантия качества (проектный риск);Риски в проектных контрактах
158;Корпоративное здоровье +;Программа корпоративного здоровья +;Здоровье сотрудников
159;Кассовые операции;Кассовые операции;Работа с наличными
160;25. Кредитование с обеспечением в виде залога квартир, нежилых помещений и машиномест;Кредит под залог недвижимости;Финансирование под готовую недвижимость
161;Безопасный Бизнес;Комплексная защита бизнеса;Риски безопасности
162;Пакет услуг "Только для ИП Базовые решения";Пакет базовых решений для ИП;Базовое обслуживание ИП
163;Операции покупки / продажи драгоценных металлов с юридическими лицами;Операции с драгоценными металлами;Работа с металлами
164;Кредитный потенциал ДММБ;Оценка кредитного потенциала;Планирование кредитования
165;Гибридное обучение для школьников;Гибридное обучение школьников;Образование детей сотрудников
166;Депозиты;Депозиты для бизнеса;Размещение свободных средств
167;Комплаенс-помощник;Помощник по комплаенсу;Соблюдение требований
168;Залоговое страхование ЮЛ.Имущество;Страхование залогового имущества;Защита залога
169;Защита товара;Защита товара;Риски порчи товара
170;Подарочные сертификаты;Подарочные сертификаты;Корпоративные подарки
171;КУ Проведение семинара по ВЭД и ВК;Семинар по ВЭД и ВК;Обучение ВЭД
172;Listim;Listim;Специализированный сервис
173;КУ Консультация;Консультация;Общие консультации
174;Речевая аналитика;Речевая аналитика;Анализ звонков
175;Комплексная поддержка по повышению эффективности бизнеса;Комплексная поддержка эффективности;Низкая эффективность бизнеса
176;14. Гарантия платежа непроектного Принципала;Гарантия платежа;Риски неоплаты
177;AI-платформа для автоматизации задач бизнеса;AI-платформа автоматизации;Ручная работа
178;Контрагент-профи;Проверка контрагентов;Риски контрагентов
179;Оборотный кредит МСП индивидуальная ставка;Оборотный кредит для МСП;Дефицит оборотных средств у МСП
180;Услуги Интернет-эквайринга;Интернет-эквайринг;Приём онлайн-платежей
181;SaluteJazz;SaluteJazz;Видеоконференции
182;Портал DA;Портал DA;Специализированный портал
183;БРИС ЖКХ;Биллинговая система ЖКХ;Управление платежами ЖКХ
184;HR-платформа;HR-платформа;Автоматизация HR
185;15. Гарантия платежа;Гарантия платежа (проектная);Риски в проектных платежах
186;Валютный форвард;Валютный форвард;Хеджирование валюты
187;Визирь;Визирь;Специализированный сервис
188;Process Mining от Сбера;Process Mining;Неэффективные процессы
189;Виртуальный оператор;Виртуальный оператор;Автоматизация звонков
190;Дистанционный мониторинг пациентов;Дистанционный мониторинг пациентов;Медицинский мониторинг
191;Индивидуальные проекты;Кастомные решения под клиента;Кастомные потребности
192;Информирование о событиях валютного контроля;Информирование о ВК;Соблюдение валютного контроля
193;Кампус СберУниверситета;Кампус СберУниверситета;Корпоративное обучение
194;Кредит на проект Стандарт индивидуальная ставка;Кредит на проект;Проектное финансирование
195;Кибербезопасность;Кибербезопасность;Киберугрозы
196;Voice2Med;Voice2Med;Автоматизация меддокументов
197;КУ Подготовка расчетного документа;Подготовка расчётных документов;Документооборот
198;Ладошки;Ладошки;Специализированный сервис
199;Переход на кадровый ЭДО;Переход на кадровый ЭДО;Переход на ЭДО в HR
200;Агент в торгах;Агент в торгах;Участие в торгах
201;Sbergile и практики консалтинга;Sbergile + консалтинг;Гибкие практики консалтинга
202;Мониторинг эффективности региона;Мониторинг эффективности региона;Аналитика регионов
203;Простой валютный опцион;Простой валютный опцион;Хеджирование валюты
204;Стратегический Консалтинг;Стратегический консалтинг;Стратегия развития
205;Трансграничный поиск активов;Трансграничный поиск активов;Поиск активов за рубежом
206;Прием оплаты по СБП;Приём оплаты по СБП;Быстрые платежи
207;Структурный бивалютный депозит;Структурный бивалютный депозит;Размещение средств с защитой
208;Рекламные услуги;Рекламные услуги;Продвижение
209;Структурный депозит с плавающим доходом;Структурный депозит с плавающим доходом;Размещение средств
210;Структурирование проекта для привлечения финансирования;Структурирование проекта для финансирования;Подготовка к финансированию
211;Комплексные консультации по вопросам поддержки бизнеса;Комплексные консультации по поддержке бизнеса;Получение господдержки
212;Валютный своп;Валютный своп;Хеджирование валюты
213;СберЧаевые;СберЧаевые;Чаевые для сотрудников
214;Защита товара;Защита товара;Риски порчи товара
215;Вывод на рынок госзакупок;Вывод на рынок госзакупок;Участие в госзакупках
216;Рекламная платформа;Рекламная платформа;Продвижение
217;BusinessApps.Мой розничный бизнес;BusinessApps для розницы;Автоматизация розницы
218;Обучающая программа для предпринимателей;Обучающая программа для предпринимателей;Обучение предпринимателей
219;Amelia 2.0;Amelia 2.0 (ИИ-ассистент);Автоматизация общения
220;Пакет услуг "Набирая обороты Базовые решения";Пакет «Набирая обороты» базовые решения;Масштабирование бизнеса
221;Прочее. Кредит. ЮЛ. Брокер;Брокерские кредитные услуги;Дополнительные кредитные продукты
222;СберБизнес Прайм;СберБизнес Прайм;Премиум-обслуживание
223;Юридическое сопровождение сотрудников;Юридическое сопровождение сотрудников;Правовая защита сотрудников
224;Консалтинговые услуги по обслуживанию ВЭД и ВК. Обслуживание ВЭД "Под ключ";Консалтинг ВЭД под ключ;Сложности ВЭД
225;СберПодбор;СберПодбор;Поиск сотрудников
226;3.2 Гарантия исполнения договорных обязательств;Гарантия качества (проектный риск);Риски в проектных контрактах
227;eCOM. Вывод на МП;Вывод на маркетплейсы;Выход на маркетплейсы
228;ВЭД Онлайн-бизнес-миссии;Онлайн-бизнес-миссии ВЭД;Поиск партнёров за рубежом
229;Инвестиционный для начинающих предпринимателей (Бизнес-старт) индивидуальная ставка;Инвестиционный кредит «Бизнес-старт»;Старт инвестиций
230;6. Проектное финансирование;Проектное финансирование;Финансирование проектов
231;Зачисление выплат самозанятым;Зачисление выплат самозанятым;Работа с самозанятыми
232;Оборотный кредит с льготным периодом Welcome публичная ставка;Оборотный кредит Welcome;Финансирование старта
233;Гарантии ММБ Стандарт;Стандартные гарантии ММБ;Обеспечение для ММБ
234;9. Кредитование СМО;Кредитование СМО;Финансирование СМО
235;27. Кредитование под залог Объектов коммерческой недвижимости;Кредит под залог коммерческой недвижимости;Финансирование под коммерческую недвижимость
236;2. Гарантия исполнения платежных обязательств по договору приобретения земельного участка;Гарантия по договору приобретения земли;Риски при покупке земли
237;Комиссия за ДБО;Комиссия за ДБО;Плата за дистанционное обслуживание
238;ЮKassa;ЮKassa;Приём платежей
239;Лизинг;Лизинг;Финансирование имущества
240;Процентный своп;Процентный своп;Хеджирование ставок
241;Премиальная бизнес-карта;Премиальная бизнес-карта;Премиум-карта
242;Выпущенные векселя;Выпущенные векселя;Финансовые инструменты
243;Валютный контроль;Валютный контроль;Соблюдение ВК
244;23. Финансирование строительства объектов коммерческой недвижимости;Финансирование коммерческой недвижимости;Строительство коммерческих объектов
245;SberPay QR;SberPay QR;Быстрые QR-платежи
246;Нестор.ПРАВОСУДИЕ;Нестор.ПРАВОСУДИЕ;Юридический сервис
247;Интернет-эквайринг;Интернет-эквайринг;Онлайн-платежи
248;Taxfree;Taxfree;Возврат НДС иностранцам
249;Покупка смарт-терминала;Покупка смарт-терминала;Терминалы для эквайринга
250;СберБизнес для селлеров;СберБизнес для селлеров;Поддержка продавцов маркетплейсов
251;Оплата в кредит;Оплата в кредит;Рассрочка для клиентов
252;Реализация активов внешних партнеров;Реализация активов партнёров;Продажа активов
253;Риск блокировки;Оценка риска блокировки;Риски блокировки счетов
254;Рынок долгов;Рынок долгов;Работа с долгами
255;Инвестиционный кредит МСХ индивидуальная ставка;Инвестиционный кредит МСХ;Финансирование сельского хозяйства
256;Пакет услуг «Новые рынки»;Пакет «Новые рынки»;Выход на новые рынки
257;Телемедицина;Телемедицина;Дистанционная медицина
258;Единая цифровая среда для эффективности бизнеса;Единая цифровая среда;Цифровая трансформация
259;Юридическое сопровождение в банкротстве и взыскании за рубежом;Юридическое сопровождение банкротства и взыскания за рубежом;Банкротство и международное взыскание
260;Финансовая диагностика бизнеса;Финансовая диагностика бизнеса;Оценка финансового состояния
261;Бухгалтерия, зарплата и кадры;Бухгалтерия, зарплата и кадры;Комплексный учёт
262;Оборотный кредит Москва индивидуальная ставка;Оборотный кредит Москва;Финансирование в Москве
263;Зелёные сертификаты;Зелёные сертификаты;Экологическая сертификация
264;Инвестиционный кредит Беларусь индивидуальная ставка;Инвестиционный кредит Беларусь;Финансирование в Беларуси
265;ДМС ЮЛ Рынок. ЮЛ. Брокер;ДМС для ЮЛ;Корпоративное ДМС
266;Деловой туризм;Деловой туризм;Организация командировок
267;ИИ-решения для бизнеса;ИИ-решения для бизнеса;Внедрение ИИ
268;Защита сотрудников;Защита сотрудников;Страхование персонала
269;Консалтинг в недвижимости;Консалтинг в недвижимости;Консультации по недвижимости
270;49. Индивидуальный овердрафт;Индивидуальный овердрафт;Индивидуальное финансирование
271;СберБизнес. Мой розничный бизнес;СберБизнес для розничного бизнеса;Поддержка розницы
272;Личная защита;Личная защита;Личное страхование
273;10. Оборотный кредит;Оборотный кредит;Оборотные средства
274;Умные дома от Doma.ai;Умные дома от Doma.ai;Умный дом / недвижимость
275;Сервис возмещения из бюджета НДС и акцизов;Сервис возмещения НДС и акцизов;Возврат налогов
276;ОСАГО. Рынок. ЮЛ. Брокер;ОСАГО для ЮЛ;Страхование автотранспорта
277;VS Robotics: голосовой робот и речевая аналитика для бизнеса;Голосовой робот и речевая аналитика;Автоматизация общения
278;Сбереги здоровье;Программа «Сбереги здоровье»;Медицинская защита
279;Электронная торговая площадка Сбер А;Электронная торговая площадка Сбер А;Участие в электронных торгах
280;Предоплата / отложенная оплата физических поставок товарно-сырьевых активов;Предоплата / отложенная оплата ТМЦ;Финансирование поставок сырья
281;Гарантии АСТ;Гарантии АСТ;Обеспечение по АСТ
282;Сбербанк Премьер;Сбербанк Премьер;Премиум-обслуживание
283;Аккредитивы выданные с покрытием за счёт кредитных ресурсов Банка - внутрироссийские;Аккредитивы с кредитным покрытием;Безопасные расчёты
284;Аккредитивы выданные непокрытые - внутрироссийские;Непокрытые аккредитивы;Безопасные расчёты
285;Комплексная эксплуатация недвижимости;Комплексная эксплуатация недвижимости;Управление недвижимостью
286;БС контрактов/проектов по договору с корпоративным клиентом;Банковское сопровождение контрактов;Сопровождение крупных контрактов
287;Защита 360;Защита 360;Комплексная защита
288;Технологическая связь М2М;M2M-связь;Машинная связь
289;Монитор города;Монитор города;Городской мониторинг
290;Отраслевое решение Транспорт;Отраслевое решение для транспорта;Автоматизация транспорта
291;Моя бухгалтерия Онлайн;Моя бухгалтерия онлайн;Онлайн-бухгалтерия
292;КАСКО. Рынок. ЮЛ. Брокер;КАСКО для ЮЛ;Страхование транспорта
293;49. Индивидуальный овердрафт;Индивидуальный овердрафт;Индивидуальное финансирование
294;Спорт рядом;Спорт рядом;Корпоративный спорт
295;Экспертиза по HoReCa;Экспертиза по HoReCa;Консалтинг для ресторанов
296;СберЧаевые;СберЧаевые;Чаевые
297;Спецтехника. Залог. ЮЛ. Брокер;Брокер по спецтехнике;Залоговые операции
298;Бизнес-карта;Бизнес-карта;Корпоративные расходы
299;Прочее. Залог. ЮЛ. Брокер;Брокерские залоговые услуги;Залоговые продукты
300;Продукты PlatformV;Продукты PlatformV;Цифровые продукты
301;Аренда POS-терминалов;Аренда POS-терминалов;Эквайринг без покупки
302;ОСАГО ЮЛ;ОСАГО для ЮЛ;Страхование автопарка
303;Городское парковочное пространство;Городское парковочное пространство;Парковки
304;Электронный документооборот;ЭДО и отчётность;Электронный документооборот
305;Пакет услуг "Двойной Полным ходом";Пакет «Двойной Полным ходом»;Комплексное обслуживание
306;Пакет услуг "Двойной Набирая обороты";Пакет «Двойной Набирая обороты»;Масштабирование
307;Ассистент преподавателя;Ассистент преподавателя (ИИ);Образовательный ИИ
308;eCOM. Вывод на СММ;Вывод на СММ;Продвижение в соцсетях
309;Опцион на процентную ставку при онлайн кредитовании;Опцион на процентную ставку;Хеджирование ставок
310;52. Контрактное кредитование Подрядчиков;Контрактное кредитование подрядчиков;Финансирование подрядчиков
311;Doma.ai;Платформа Doma.ai для недвижимости и ЖКХ;Управление недвижимостью и ЖКХ
312;24. Финансирование проектов жилищного строительства с использованием эскроу;Финансирование ДДУ с эскроу;Проектное финансирование жилья
313;Транспортный ЭДО;Транспортный ЭДО;ЭДО в транспорте
314;HR-сервисы;HR-сервисы;Комплекс HR-услуг
315;SBERUNITY;SBERUNITY;Единая платформа
316;eCOM. Вывод на WB;Вывод на Wildberries;Выход на WB
317;Звук Бизнес;Звук Бизнес;Корпоративная музыка
318;5. Инвестиционное кредитование;Инвестиционное кредитование;Инвестиции
319;Бухгалтерия для ИП;Бухгалтерия для ИП;Бухучёт ИП
320;Пакет услуг "Полным ходом Базовые решения";Пакет «Полным ходом» базовые решения;Рост бизнеса
321;Базовая версия решения Недвижимость;Базовая версия решения Недвижимость;Управление недвижимостью
322;Электронные собрания кредиторов;Электронные собрания кредиторов;Банкротство
323;Оборотный кредит Стандарт публичная ставка;Оборотный кредит;Оборотные средства
324;Выписки по расписанию;Выписки по расписанию;Автоматические выписки
325;51. Контрактное кредитование Контрактников и Исполнителей Контрактов;Контрактное кредитование исполнителей;Финансирование контрактов
326;eCOM. Вывод на ЯМ;Вывод на Яндекс.Маркет;Выход на ЯМ
327;Сделано в России;Сделано в России;Продвижение российского производства
328;Оборотный кредит с льготным периодом Welcome публичная ставка (свыше 6 месяцев);Оборотный кредит Welcome;Финансирование
